Modele	puissance	cylindree	vitesse	longueur	largeur	hauteur	poids	CO2	prix	origine	carburant	type4X4
SANTA_FE    	125	1991	172	450	185	173	1757	197	27990	Autres	Diesel	oui
MURANO      	234	3498	200	477	188	171	1870	295	44000	Autres	Essence	oui
LANDCRUI    	204	4164	170	489	194	185	2495	292	67100	Autres	Diesel	oui
OUTLAND     	202	1997	220	455	178	167	1595	237	29990	Autres	Diesel	oui
X-TRAIL     	136	2184	180	446	177	168	1520	190	29700	Autres	Diesel	oui
CITRONC5    	210	2496	230	475	178	148	1589	238	33000	France	Essence	non
LAGUNA      	165	1998	218	458	178	143	1320	196	25350	France	Essence	non
P407        	136	1997	212	468	182	145	1415	194	23400	France	Essence	non
CITRONC4    	138	1997	207	426	178	146	1381	142	23400	France	Diesel	non
CLIO        	100	1461	185	382	164	142	980	113	17600	France	Diesel	non
CITRONC2    	61	1124	158	367	166	147	932	141	10700	France	Essence	non
P307CC      	180	1997	225	435	176	143	1490	210	28850	France	Essence	non
MODUS       	113	1598	188	380	170	159	1170	163	16950	France	Essence	non
MEGANECC      	165	1998	225	436	178	141	1415	191	27800	France	Essence	non
P1007       	75	1360	165	374	169	161	1181	153	13600	France	Essence	non
TWINGO      	60	1149	151	344	163	143	840	143	8950	France	Essence	non
MONDEO      	145	1999	215	474	194	143	1378	189	23100	Europe	Essence	non
VECTRA      	150	1910	217	460	180	146	1428	159	26550	Europe	Diesel	non
PASSAT      	150	1781	221	471	175	147	1360	197	27740	Europe	Essence	non
BMW X5      	218	2993	210	467	188	172	2095	229	52000	Europe	Diesel	non
MERC_A      	140	1991	201	384	177	160	1340	141	24550	Europe	Diesel	non
ALFA 156    	250	3179	250	443	175	141	1410	287	40800	Europe	Essence	non
AUDIA3      	102	1595	185	421	177	143	1205	168	21630	Europe	Essence	non
GOLF        	75	1968	163	421	176	149	1217	143	19140	Europe	Diesel	non
MUSA        	100	1910	179	399	170	169	1275	146	17900	Europe	Diesel	non
FIESTA      	68	1399	164	392	168	144	1138	117	14150	Europe	Diesel	non
CORSA       	70	1248	165	384	165	144	1035	127	13590	Europe	Diesel	non
PANDA       	54	1108	150	354	159	154	860	135	8070	Europe	Essence	non
AVENSIS     	115	1995	195	463	176	148	1400	155	26400	Autres	Diesel	non
CHRYS300    	340	5654	250	502	188	148	1835	291	54900	Autres	Essence	non
MAZDARX8    	231	1308	235	443	177	134	1390	284	34000	Autres	Essence	non
PTCRUISER   	223	2429	200	429	171	154	1595	235	27400	Autres	Essence	non
YARIS       	65	998	155	364	166	150	880	134	10450	Autres	Essence	non
P607        	204	2721	230	491	184	145	1723	223	40550	France	Diesel	non
VELSATIS    	150	2188	200	486	186	158	1735	188	38250	France	Diesel	non
BMW530      	231	2979	250	485	185	147	1495	231	46400	Europe	Essence	non
MERC_E      	204	3222	243	482	183	146	1735	183	46450	Europe	Diesel	non
AUDIA8     	280	3697	250	506	203	145	1770	281	78340	Europe	Essence	non
