Reading	Listening_music	Cinema	Show	Exhibition	Computer	Sport	Walking	Travelling	Playing_music	Collecting	Volunteering	Mechanic	Gardening	Knitting	Cooking	Fishing	TV	Sex	Age	Marital_status	Profession	nb_activitees
y	y	y	y	y	n	y	y	y	n	n	y	y	n	n	n	n	n2	F	(55,65]	Married	Management	11
y	n	n	n	y	n	y	y	n	n	y	y	y	y	n	n	n	n4	M	(45,55]	Married	NotAvailable	9
y	y	n	n	y	n	n	n	y	n	n	n	n	n	n	n	n	n4	F	(25,35]	Remarried	Management	5
y	n	n	n	y	n	y	n	y	n	n	n	n	n	n	n	n	n1	M	(75,85]	Married	NotAvailable	5
y	y	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n3	M	(55,65]	Married	Employee	6
n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n3	M	(45,55]	Married	Manual_labourer	2
n	y	n	n	n	y	y	n	n	n	n	n	y	n	n	n	n	n3	M	(35,45]	Married	Employee	5
y	y	y	y	y	y	n	n	y	n	n	n	n	n	n	n	n	n0	M	[15,25]	Single	NotAvailable	7
y	y	y	y	n	y	y	y	y	y	n	n	n	n	n	n	n	n1	F	(35,45]	Single	Management	10
y	y	y	n	y	n	n	n	n	y	n	n	y	y	n	n	n	n1	F	(25,35]	Single	Employee	8
y	n	y	y	n	n	y	n	n	n	n	n	n	n	n	n	n	n0	F	[15,25]	Single	Employee	4
y	y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n2	F	(75,85]	Divorcee	Management	8
y	y	y	y	y	y	y	n	y	n	n	n	n	n	n	n	n	n3	F	(35,45]	Married	Employee	9
y	y	y	y	y	y	y	y	y	y	n	y	n	n	n	y	n	n0	F	[15,25]	Single	NotAvailable	12
n	n	n	n	n	n	n	n	n	y	n	n	n	y	n	n	n	n4	F	(65,75]	Divorcee	NotAvailable	3
y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(45,55]	Married	Employee	3
y	y	n	y	y	y	y	n	n	n	n	n	n	n	n	n	n	n2	M	(55,65]	Single	NotAvailable	7
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n1	F	(45,55]	Married	Employee	1
y	y	n	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n3	M	(65,75]	Married	Foreman	6
y	y	y	y	y	y	y	n	y	y	n	n	y	n	n	n	n	n1	M	(25,35]	Single	Management	11
y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	y	y	n2	M	(45,55]	Remarried	Management	12
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	M	(45,55]	Married	Employee	1
y	y	y	n	n	y	y	y	y	y	n	n	y	n	n	y	n	n3	F	(25,35]	Single	Management	11
y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	y	n	n4	F	(25,35]	Single	Management	11
y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	n0	F	(65,75]	Divorcee	NotAvailable	6
y	y	y	y	y	n	y	y	y	y	n	y	n	n	n	n	n	n0	F	(35,45]	Single	Employee	10
y	y	y	y	y	y	n	y	n	y	n	n	y	y	n	y	n	n0	M	[15,25]	Single	NotAvailable	11
y	y	y	y	y	y	y	n	y	n	y	n	y	n	n	n	n	n2	F	(45,55]	Married	Management	11
y	y	y	y	y	n	n	n	n	n	y	n	y	y	n	n	n	n2	M	(35,45]	Single	Management	9
y	y	y	y	y	y	n	y	y	y	n	n	n	n	n	y	n	n2	F	(25,35]	Single	Management	11
y	y	n	n	n	n	n	y	n	n	n	n	n	n	n	y	n	n4	M	(55,65]	Married	NotAvailable	5
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	y	n	n4	F	(35,45]	Married	NotAvailable	12
y	y	n	y	y	y	n	n	y	n	n	n	n	n	n	y	n	n2	F	(45,55]	Single	Management	8
y	y	y	y	y	n	n	y	y	n	y	n	y	n	n	n	n	n1	M	(35,45]	Remarried	Other	10
y	y	y	y	y	y	y	n	y	n	n	n	n	n	n	y	y	n2	F	(25,35]	Single	Management	11
y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	n	n2	M	(25,35]	Single	Management	10
y	y	n	y	y	y	n	y	n	y	n	n	y	n	n	y	n	n3	M	(35,45]	Married	Management	10
y	y	y	y	y	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(65,75]	Married	Employee	6
n	y	y	n	y	y	n	n	n	n	n	n	n	n	n	n	n	n2	M	[15,25]	Single	Manual_labourer	5
y	y	y	y	y	y	n	n	y	n	n	n	n	y	n	n	n	n2	F	(45,55]	Divorcee	Management	9
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(85,100]	Widower	Employee	2
y	y	y	y	y	n	y	y	y	n	n	n	n	n	n	y	n	n3	F	(35,45]	Divorcee	NotAvailable	10
y	y	y	y	y	y	n	y	y	y	y	n	y	n	n	y	n	n4	M	(65,75]	Divorcee	NotAvailable	13
y	y	n	y	y	n	n	y	n	n	n	y	y	y	n	n	n	n0	F	(45,55]	Divorcee	Employee	8
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n1	M	(75,85]	Widower	Management	2
y	n	y	y	y	y	y	n	y	n	n	n	n	n	n	n	n	n1	M	(55,65]	Remarried	Management	8
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n2	M	(45,55]	Married	Unskilled_worker	1
y	n	y	y	n	n	y	n	y	y	n	n	n	n	n	n	y	n4	F	(35,45]	Single	Management	8
y	y	y	y	y	y	y	y	y	n	n	n	y	n	n	y	n	n2	F	(35,45]	Married	Management	12
y	y	y	y	n	n	n	y	n	n	n	n	y	n	n	n	n	n2	M	(25,35]	Married	Other	7
y	y	y	y	y	n	y	n	n	n	n	n	n	y	n	n	n	n3	M	(65,75]	Married	Management	8
