affiliation;budget;physician;salvador;nicaraguan;missile;education
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;neither;y;n;n;n
democrat;y;n;neither;n;n;n
democrat;y;n;y;n;n;neither
democrat;y;n;y;n;n;n
democrat;n;y;y;n;n;n
republican;n;y;y;n;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;neither
republican;n;y;y;n;n;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;neither;neither
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;neither;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;n;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;y;y;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;neither;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;neither;n
democrat;y;n;n;y;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;neither;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;neither
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;y;y;n;y;y;n
democrat;y;n;n;y;y;n
republican;y;y;y;n;y;n
democrat;y;n;n;y;y;n
democrat;y;y;y;n;n;n
democrat;y;n;y;n;n;y
democrat;y;y;y;y;y;y
democrat;y;n;y;n;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;y
democrat;y;n;n;y;neither;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;y;n;y;n
republican;n;y;y;n;n;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;n;n
democrat;y;n;n;n;y;n
democrat;y;n;y;n;n;n
democrat;y;n;y;neither;neither;neither
democrat;neither;n;y;n;n;y
democrat;n;n;y;n;n;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;n;n;y;n;n;y
democrat;y;n;y;n;n;n
democrat;y;n;y;n;neither;n
democrat;n;n;y;n;neither;n
democrat;neither;neither;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;neither;neither;neither;neither;neither;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;neither;y;y;neither
democrat;y;n;n;y;y;n
republican;y;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;neither;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;y;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;n;n
democrat;y;n;n;y;neither;neither
democrat;y;n;neither;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;n;y;y;n
republican;n;y;y;y;y;y
republican;n;y;y;y;y;y
democrat;n;n;n;y;y;n
democrat;n;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;n;n;n;y;y;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;neither;y;y;n;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;neither;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;neither;y;y;n
democrat;n;n;y;n;n;y
democrat;n;n;y;n;n;y
democrat;y;n;y;n;n;y
republican;n;y;y;n;n;y
democrat;n;n;y;n;n;y
democrat;y;n;n;y;y;n
republican;y;y;y;y;n;y
republican;y;y;y;y;n;y
democrat;y;y;y;n;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;n;n;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;y;y;n;y;y;n
democrat;y;n;n;y;y;neither
democrat;y;n;n;y;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;neither;neither;neither;neither;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;y;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;neither;n;y
democrat;n;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;neither;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;y
republican;y;y;y;n;n;n
democrat;y;n;n;y;y;n
democrat;n;n;n;y;neither;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;y;y;y;n;n;y
democrat;y;n;n;y;y;y
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;neither
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
democrat;y;y;y;n;n;y
democrat;y;n;y;n;neither;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;y;n;n;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;n;y;y;n;n;neither
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
republican;y;y;y;n;y;y
republican;n;y;y;n;n;y
republican;n;y;y;n;y;y
democrat;y;n;n;y;n;n
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
democrat;y;n;n;y;n;y
democrat;y;n;n;y;neither;n
republican;n;y;y;n;n;n
republican;n;y;n;neither;y;y
democrat;y;n;n;y;y;n
republican;n;n;y;n;n;neither
democrat;y;n;n;y;neither;n
democrat;y;n;n;y;y;n
democrat;y;n;n;y;y;n
democrat;y;n;y;y;y;n
republican;n;y;y;n;n;neither
republican;neither;neither;neither;neither;neither;neither
democrat;y;n;n;y;neither;n
republican;n;y;y;n;n;y
republican;n;y;y;n;n;y
democrat;y;n;n;y;y;n
republican;n;y;y;n;n;y
